"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"1",1,2,0,0,"AVLT-total_1_to_5","AVLT-delayed_recall_1_to_5",1.61128915075507,0.669242219698025,40.409121250274
"2",1,3,0,0,"AVLT-total_1_to_5","AVLT-recognition_1_to_5",1.60824308984488,0.885721535093746,34.0925482268602
"3",1,4,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_immrec",1.56937687216293,0.964810134088794,31.5645851905178
"4",1,5,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_delrec",1.49150181605521,0.983926054333601,33.4896518103156
"5",1,6,0,0,"AVLT-total_1_to_5","TMT-a",1.27658097101838,1.1159570464467,31.5650934562505
"6",1,7,0,0,"AVLT-total_1_to_5","TMT-b",1.29406057551583,1.05201016694197,40.9512538238686
"7",1,8,0,0,"AVLT-total_1_to_5","Stroop-card_I_c",1.46079198925598,1.1193895476815,19.4459808409087
"8",1,9,0,0,"AVLT-total_1_to_5","Stroop-card_II_w",1.46697665222042,1.0831528976499,25.1999867116625
"9",1,10,0,0,"AVLT-total_1_to_5","Stroop-card_III_cw",1.40537290169827,1.06980498849088,29.8831293636733
"10",1,11,0,0,"AVLT-total_1_to_5","LF-total_letter_123",1.48782880138493,1.06403696119009,26.7103477660078
"11",1,12,0,0,"AVLT-total_1_to_5","SF-Animals",1.45238975226831,1.07959536486881,26.2875984502229
"12",1,13,0,0,"AVLT-total_1_to_5","SF-Occupations",1.46146527919052,1.08742989161623,24.8334291857195
"13",1,14,0,0,"AVLT-total_1_to_5","MMSE-total",1.57145517477323,1.06624207073511,23.6119806201927
"14",1,15,0,0,"AVLT-total_1_to_5","BNT-LongVersion",1.40013763924074,1.05303928886921,32.1989062242791
"15",2,1,0,0,"AVLT-delayed_recall_1_to_5","AVLT-total_1_to_5",1.61128915075507,0.669242219698025,49.590878749726
"16",2,3,0,0,"AVLT-delayed_recall_1_to_5","AVLT-recognition_1_to_5",1.68977598987353,0.926506285556254,40.290398921837
"17",2,4,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_immrec",1.55984359130898,1.14170865449042,35.98413888652
"18",2,5,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_delrec",1.52727647034233,1.0967784872967,41.2218279717803
"19",2,6,0,0,"AVLT-delayed_recall_1_to_5","TMT-a",1.34089307784414,1.19156752986796,58.282525588539
"20",2,7,0,0,"AVLT-delayed_recall_1_to_5","TMT-b",1.35412412940727,1.13599046033686,59.4687653722053
"21",2,8,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_I_c",1.4550470172292,1.26987900697316,23.6012990808829
"22",2,9,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_II_w",1.46085027467353,1.23853360559945,31.0343493074991
"23",2,10,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_III_cw",1.42819361723442,1.19273929141466,41.4901291383982
"24",2,11,0,0,"AVLT-delayed_recall_1_to_5","LF-total_letter_123",1.48887306297623,1.21320835750444,33.0544537992263
"25",2,12,0,0,"AVLT-delayed_recall_1_to_5","SF-Animals",1.48727631096338,1.1856557841773,36.6814915169893
"26",2,13,0,0,"AVLT-delayed_recall_1_to_5","SF-Occupations",1.48246124260724,1.20975266686747,34.0330574794685
"27",2,14,0,0,"AVLT-delayed_recall_1_to_5","MMSE-total",1.59332300856575,1.18763362594183,30.0555798804929
"28",2,15,0,0,"AVLT-delayed_recall_1_to_5","BNT-LongVersion",1.41944572474678,1.18205723490219,43.8335088490151
"29",3,1,0,0,"AVLT-recognition_1_to_5","AVLT-total_1_to_5",1.60824308984488,0.885721535093746,55.9074517731399
"30",3,2,0,0,"AVLT-recognition_1_to_5","AVLT-delayed_recall_1_to_5",1.68977598987353,0.926506285556254,49.709601078163
"31",3,4,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_immrec",1.66501194436729,1.13629067759776,44.5579380259323
"32",3,5,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_delrec",1.61592368673931,1.11852478894671,48.7655119152717
"33",3,6,0,0,"AVLT-recognition_1_to_5","TMT-a",1.43153655678668,1.22284140787944,76.7703302366453
"34",3,7,0,0,"AVLT-recognition_1_to_5","TMT-b",1.44171067659696,1.17149793281976,73.3092621763973
"35",3,8,0,0,"AVLT-recognition_1_to_5","Stroop-card_I_c",1.47005994164322,1.37676754772545,43.2733418747345
"36",3,9,0,0,"AVLT-recognition_1_to_5","Stroop-card_II_w",1.49995308281405,1.3209846192764,47.5972144538674
"37",3,10,0,0,"AVLT-recognition_1_to_5","Stroop-card_III_cw",1.47155720475374,1.27424252657261,58.8229876818694
"38",3,11,0,0,"AVLT-recognition_1_to_5","LF-total_letter_123",1.50844284723434,1.31910131938289,46.3457050078892
"39",3,12,0,0,"AVLT-recognition_1_to_5","SF-Animals",1.5285801964869,1.2680787216925,48.7854444504171
"40",3,13,0,0,"AVLT-recognition_1_to_5","SF-Occupations",1.55853143819092,1.24859248948223,46.7318384583402
"41",3,14,0,0,"AVLT-recognition_1_to_5","MMSE-total",1.61485494437418,1.29159047128658,37.7452639082086
"42",3,15,0,0,"AVLT-recognition_1_to_5","BNT-LongVersion",1.44602535896624,1.2837081954667,66.4549204231447
"43",4,1,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-total_1_to_5",1.56937687216293,0.964810134088794,58.4354148094822
"44",4,2,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-delayed_recall_1_to_5",1.55984359130898,1.14170865449042,54.01586111348
"45",4,3,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-recognition_1_to_5",1.66501194436729,1.13629067759776,45.4420619740677
"46",4,5,0,0,"RBMT-prose_1_plus_pr2_immrec","RBMT-prose_1_plus_pr2_delrec",1.9016370033281,0.518591997995026,46.7222820376088
"47",4,6,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-a",1.43777319331223,1.22486740294275,78.1125673419574
"48",4,7,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-b",1.48497638447625,1.12633747479172,65.4219716993618
"49",4,8,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_I_c",1.49006300445741,1.36349963080269,45.543881920192
"50",4,9,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_II_w",1.52291919927629,1.30323851057339,48.170095872955
"51",4,10,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_III_cw",1.49927421278137,1.25068195247045,56.8256566633211
"52",4,11,0,0,"RBMT-prose_1_plus_pr2_immrec","LF-total_letter_123",1.5244813783857,1.30928932214506,47.2569942290006
"53",4,12,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Animals",1.55044544975476,1.25042147166213,49.065051177078
"54",4,13,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Occupations",1.56610089559703,1.24827293545472,47.4182917228677
"55",4,14,0,0,"RBMT-prose_1_plus_pr2_immrec","MMSE-total",1.66396867295032,1.236941623637,40.0603047102454
"56",4,15,0,0,"RBMT-prose_1_plus_pr2_immrec","BNT-LongVersion",1.59822903689312,1.09882387281639,51.9709647563802
"57",5,1,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-total_1_to_5",1.49150181605521,0.983926054333601,56.5103481896844
"58",5,2,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-delayed_recall_1_to_5",1.52727647034233,1.0967784872967,48.7781720282197
"59",5,3,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-recognition_1_to_5",1.61592368673931,1.11852478894671,41.2344880847283
"60",5,4,0,0,"RBMT-prose_1_plus_pr2_delrec","RBMT-prose_1_plus_pr2_immrec",1.9016370033281,0.518591997995026,43.2777179623912
"61",5,6,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-a",1.36457578124261,1.22650341761334,76.3082466806167
"62",5,7,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-b",1.4283012289052,1.1102397736761,60.3149992424104
"63",5,8,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_I_c",1.48043502226361,1.29869816788937,33.6900675259798
"64",5,9,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_II_w",1.50248324339715,1.24865663504777,39.5289072954953
"65",5,10,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_III_cw",1.44687991152431,1.23184934912757,48.6470981542704
"66",5,11,0,0,"RBMT-prose_1_plus_pr2_delrec","LF-total_letter_123",1.47472889372179,1.28931861001153,36.3077453902741
"67",5,12,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Animals",1.51244402213939,1.21607311265643,42.0802538442413
"68",5,13,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Occupations",1.5660181963394,1.16504511984927,41.7044589953496
"69",5,14,0,0,"RBMT-prose_1_plus_pr2_delrec","MMSE-total",1.60881669841915,1.22858086494362,33.727411992044
"70",5,15,0,0,"RBMT-prose_1_plus_pr2_delrec","BNT-LongVersion",1.53903294485598,1.09179363364125,48.0103280884182
"71",6,1,0,0,"TMT-a","AVLT-total_1_to_5",1.27658097101838,1.1159570464467,58.4349065437495
"72",6,2,0,0,"TMT-a","AVLT-delayed_recall_1_to_5",1.34089307784414,1.19156752986796,31.717474411461
"73",6,3,0,0,"TMT-a","AVLT-recognition_1_to_5",1.43153655678668,1.22284140787944,13.2296697633547
"74",6,4,0,0,"TMT-a","RBMT-prose_1_plus_pr2_immrec",1.43777319331223,1.22486740294275,11.8874326580426
"75",6,5,0,0,"TMT-a","RBMT-prose_1_plus_pr2_delrec",1.36457578124261,1.22650341761334,13.6917533193833
"76",6,7,0,0,"TMT-a","TMT-b",1.44235372432768,0.935213048909357,47.2285044668681
"77",6,8,0,0,"TMT-a","Stroop-card_I_c",1.51336955700957,1.12709730180153,29.9364700916107
"78",6,9,0,0,"TMT-a","Stroop-card_II_w",1.51188073445101,1.10142947623609,32.5911143253534
"79",6,10,0,0,"TMT-a","Stroop-card_III_cw",1.43467282502477,1.11128715453831,36.3609381677095
"80",6,11,0,0,"TMT-a","LF-total_letter_123",1.45288494070464,1.18685470659279,23.9509552344418
"81",6,12,0,0,"TMT-a","SF-Animals",1.44241552373486,1.16965343145204,27.925584121499
"82",6,13,0,0,"TMT-a","SF-Occupations",1.458063143125,1.1688139075999,27.1510273556494
"83",6,14,0,0,"TMT-a","MMSE-total",1.51329575253387,1.22064287716294,11.9646273837255
"84",6,15,0,0,"TMT-a","BNT-LongVersion",1.35824292390153,1.1824309116692,32.1107845689054
"85",7,1,0,0,"TMT-b","AVLT-total_1_to_5",1.29406057551583,1.05201016694197,49.0487461761314
"86",7,2,0,0,"TMT-b","AVLT-delayed_recall_1_to_5",1.35412412940727,1.13599046033686,30.5312346277947
"87",7,3,0,0,"TMT-b","AVLT-recognition_1_to_5",1.44171067659696,1.17149793281976,16.6907378236027
"88",7,4,0,0,"TMT-b","RBMT-prose_1_plus_pr2_immrec",1.48497638447625,1.12633747479172,24.5780283006382
"89",7,5,0,0,"TMT-b","RBMT-prose_1_plus_pr2_delrec",1.4283012289052,1.1102397736761,29.6850007575896
"90",7,6,0,0,"TMT-b","TMT-a",1.44235372432768,0.935213048909357,42.7714955331319
"91",7,8,0,0,"TMT-b","Stroop-card_I_c",1.51816196212018,1.07801626145269,28.9973083959583
"92",7,9,0,0,"TMT-b","Stroop-card_II_w",1.52617268993562,1.03731683982951,32.1380494267339
"93",7,10,0,0,"TMT-b","Stroop-card_III_cw",1.46398524484751,1.0277604375284,35.9349065437495
"94",7,11,0,0,"TMT-b","LF-total_letter_123",1.47904865992967,1.11275013656318,26.7581490984306
"95",7,12,0,0,"TMT-b","SF-Animals",1.44974209013634,1.11946354307737,27.2132225404484
"96",7,13,0,0,"TMT-b","SF-Occupations",1.46104383883811,1.12415481153846,25.9636090630046
"97",7,14,0,0,"TMT-b","MMSE-total",1.5444793286331,1.14057692901623,20.2351665456645
"98",7,15,0,0,"TMT-b","BNT-LongVersion",1.36251270553742,1.13702457661298,29.6376532646047
"99",8,1,0,0,"Stroop-card_I_c","AVLT-total_1_to_5",1.46079198925598,1.1193895476815,70.5540191590913
"100",8,2,0,0,"Stroop-card_I_c","AVLT-delayed_recall_1_to_5",1.4550470172292,1.26987900697316,66.3987009191171
"101",8,3,0,0,"Stroop-card_I_c","AVLT-recognition_1_to_5",1.47005994164322,1.37676754772545,46.7266581252655
"102",8,4,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_immrec",1.49006300445741,1.36349963080269,44.456118079808
"103",8,5,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_delrec",1.48043502226361,1.29869816788937,56.3099324740202
"104",8,6,0,0,"Stroop-card_I_c","TMT-a",1.51336955700957,1.12709730180153,60.0635299083893
"105",8,7,0,0,"Stroop-card_I_c","TMT-b",1.51816196212018,1.07801626145269,61.0026916040417
"106",8,9,0,0,"Stroop-card_I_c","Stroop-card_II_w",1.79362136536248,0.89094317119209,45.7295526470282
"107",8,10,0,0,"Stroop-card_I_c","Stroop-card_III_cw",1.64043780696936,1.05552647831531,49.8813273661695
"108",8,11,0,0,"Stroop-card_I_c","LF-total_letter_123",1.5770073263849,1.24276857389816,46.2508114071409
"109",8,12,0,0,"Stroop-card_I_c","SF-Animals",1.55429786968453,1.24287445679994,48.6930215756337
"110",8,13,0,0,"Stroop-card_I_c","SF-Occupations",1.56710057916915,1.24426562475984,47.1661569915943
"111",8,14,0,0,"Stroop-card_I_c","MMSE-total",1.52193420333642,1.40558757790939,24.9495462268939
"112",8,15,0,0,"Stroop-card_I_c","BNT-LongVersion",1.43435968465121,1.30288375786157,75.9851595088583
"113",9,1,0,0,"Stroop-card_II_w","AVLT-total_1_to_5",1.46697665222042,1.0831528976499,64.8000132883375
"114",9,2,0,0,"Stroop-card_II_w","AVLT-delayed_recall_1_to_5",1.46085027467353,1.23853360559945,58.9656506925008
