"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"44",4,2,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-delayed_recall_1_to_5",2.53512808453288,1.85555634582825,54.01586111348
"45",4,3,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-recognition_1_to_5",2.70605243036325,1.84675080567123,45.4420619740677
"46",4,5,0,0,"RBMT-prose_1_plus_pr2_immrec","RBMT-prose_1_plus_pr2_delrec",3.09062613750808,0.842839080697793,46.7222820376088
"47",4,6,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-a",2.33673377373408,1.99070969059353,78.1125673419574
"48",4,7,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-b",2.41345052678946,1.83057441202174,65.4219716993618
"49",4,8,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_I_c",2.42171753076437,2.21602103349181,45.543881920192
"50",4,9,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_II_w",2.47511689894483,2.11808194578462,48.170095872955
"51",4,10,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_III_cw",2.43668800155046,2.03266465958008,56.8256566633211
"52",4,11,0,0,"RBMT-prose_1_plus_pr2_immrec","LF-total_letter_123",2.47765582281861,2.1279159973748,47.2569942290006
"53",4,12,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Animals",2.51985380143855,2.03224131443424,49.065051177078
"54",4,13,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Occupations",2.54529773738941,2.02874941658604,47.4182917228677
"55",4,14,0,0,"RBMT-prose_1_plus_pr2_immrec","MMSE-total",2.704356858651,2.01033325807901,40.0603047102454
"56",4,15,0,0,"RBMT-prose_1_plus_pr2_immrec","BNT-LongVersion",2.59751384018161,1.78585806644521,51.9709647563802
"57",5,1,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-total_1_to_5",2.42405595219986,1.59912095503852,56.5103481896844
"58",5,2,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-delayed_recall_1_to_5",2.48219853220151,1.78253381374221,48.7781720282197
"59",5,3,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-recognition_1_to_5",2.62627198235754,1.81787688297994,41.2344880847283
"60",5,4,0,0,"RBMT-prose_1_plus_pr2_delrec","RBMT-prose_1_plus_pr2_immrec",3.09062613750808,0.842839080697793,43.2777179623912
"61",5,6,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-a",2.21777004167355,1.99336861534806,76.3082466806167
"62",5,7,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-b",2.32133951041322,1.80441170287449,60.3149992424104
"63",5,8,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_I_c",2.40606970030696,2.11070277628596,33.6900675259798
"64",5,9,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_II_w",2.44190346269253,2.02937302245252,39.5289072954953
