"","X1","X2","cx","cy","test1","test2","rx","ry","angle"
"1",1,2,0,0,"AVLT-total_1_to_5","AVLT-delayed_recall_1_to_5",3.25343671011405,1.35130135053875,40.409121250274
"2",1,3,0,0,"AVLT-total_1_to_5","AVLT-recognition_1_to_5",3.24728625202785,1.78840585866428,34.0925482268602
"3",1,4,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_immrec",3.16880947501333,1.94809771235882,31.5645851905178
"4",1,5,0,0,"AVLT-total_1_to_5","RBMT-prose_1_plus_pr2_delrec",3.01156794811275,1.98669564907485,33.4896518103156
"5",1,6,0,0,"AVLT-total_1_to_5","TMT-a",2.57761022756092,2.25328620882152,31.5650934562505
"6",1,7,0,0,"AVLT-total_1_to_5","TMT-b",2.61290419507982,2.12416777891064,40.9512538238686
"7",1,8,0,0,"AVLT-total_1_to_5","Stroop-card_I_c",2.94956015899368,2.26021694842191,19.4459808409087
"8",1,9,0,0,"AVLT-total_1_to_5","Stroop-card_II_w",2.96204792974468,2.18704966655377,25.1999867116625
"9",1,10,0,0,"AVLT-total_1_to_5","Stroop-card_III_cw",2.83766063194928,2.16009821737355,29.8831293636733
"10",1,11,0,0,"AVLT-total_1_to_5","LF-total_letter_123",3.00415157547754,2.14845169709719,26.7103477660078
"11",1,12,0,0,"AVLT-total_1_to_5","SF-Animals",2.93259477059649,2.17986646933432,26.2875984502229
"12",1,13,0,0,"AVLT-total_1_to_5","SF-Occupations",2.95091963329322,2.19568556481726,24.8334291857195
"13",1,14,0,0,"AVLT-total_1_to_5","MMSE-total",3.17300588259412,2.15290414707505,23.6119806201927
"14",1,15,0,0,"AVLT-total_1_to_5","BNT-LongVersion",2.82708984454069,2.12624573186881,32.1989062242791
"15",2,1,0,0,"AVLT-delayed_recall_1_to_5","AVLT-total_1_to_5",3.25343671011405,1.35130135053875,49.590878749726
"16",2,3,0,0,"AVLT-delayed_recall_1_to_5","AVLT-recognition_1_to_5",3.41191351952418,1.87075644378762,40.290398921837
"17",2,4,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_immrec",3.14956033783424,2.30528260370486,35.98413888652
"18",2,5,0,0,"AVLT-delayed_recall_1_to_5","RBMT-prose_1_plus_pr2_delrec",3.08380239063651,2.21456179467371,41.2218279717803
"19",2,6,0,0,"AVLT-delayed_recall_1_to_5","TMT-a",2.70746610672058,2.40595522066021,58.282525588539
"20",2,7,0,0,"AVLT-delayed_recall_1_to_5","TMT-b",2.73418160272496,2.29373670409644,59.4687653722053
"21",2,8,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_I_c",2.93796019080563,2.56407794761952,23.6012990808829
"22",2,9,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_II_w",2.94967784607488,2.50078683722217,31.0343493074991
"23",2,10,0,0,"AVLT-delayed_recall_1_to_5","Stroop-card_III_cw",2.88373911118536,2.40832118460266,41.4901291383982
"24",2,11,0,0,"AVLT-delayed_recall_1_to_5","LF-total_letter_123",3.00626009770926,2.44965132761705,33.0544537992263
"25",2,12,0,0,"AVLT-delayed_recall_1_to_5","SF-Animals",3.00303601368119,2.39401851119884,36.6814915169893
"26",2,13,0,0,"AVLT-delayed_recall_1_to_5","SF-Occupations",2.99331366177172,2.44267376510332,34.0330574794685
"27",2,14,0,0,"AVLT-delayed_recall_1_to_5","MMSE-total",3.21716034934387,2.3980120731244,30.0555798804929
"28",2,15,0,0,"AVLT-delayed_recall_1_to_5","BNT-LongVersion",2.86607579200886,2.38675249546893,43.8335088490151
"29",3,1,0,0,"AVLT-recognition_1_to_5","AVLT-total_1_to_5",3.24728625202785,1.78840585866428,55.9074517731399
"30",3,2,0,0,"AVLT-recognition_1_to_5","AVLT-delayed_recall_1_to_5",3.41191351952418,1.87075644378762,49.709601078163
"31",3,4,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_immrec",3.36191116289987,2.29434288819268,44.5579380259323
"32",3,5,0,0,"AVLT-recognition_1_to_5","RBMT-prose_1_plus_pr2_delrec",3.26279453983593,2.25847086963037,48.7655119152717
"33",3,6,0,0,"AVLT-recognition_1_to_5","TMT-a",2.89048901219097,2.46910191456213,76.7703302366453
"34",3,7,0,0,"AVLT-recognition_1_to_5","TMT-b",2.91103210023221,2.36543166611185,73.3092621763973
"35",3,8,0,0,"AVLT-recognition_1_to_5","Stroop-card_I_c",2.96827355783344,2.77990209203894,43.2733418747345
"36",3,9,0,0,"AVLT-recognition_1_to_5","Stroop-card_II_w",3.02863233504002,2.66726791515718,47.5972144538674
"37",3,10,0,0,"AVLT-recognition_1_to_5","Stroop-card_III_cw",2.9712967587072,2.57288855423441,58.8229876818694
"38",3,11,0,0,"AVLT-recognition_1_to_5","LF-total_letter_123",3.04577445457346,2.66346524758084,46.3457050078892
"39",3,12,0,0,"AVLT-recognition_1_to_5","SF-Animals",3.08643481107866,2.56044289911316,48.7854444504171
"40",3,13,0,0,"AVLT-recognition_1_to_5","SF-Occupations",3.14691090205692,2.52109724648153,46.7318384583402
"41",3,14,0,0,"AVLT-recognition_1_to_5","MMSE-total",3.26063658721598,2.60791668071998,37.7452639082086
"42",3,15,0,0,"AVLT-recognition_1_to_5","BNT-LongVersion",2.91974409708649,2.59200117263153,66.4549204231447
"43",4,1,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-total_1_to_5",3.16880947501333,1.94809771235882,58.4354148094822
"44",4,2,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-delayed_recall_1_to_5",3.14956033783424,2.30528260370486,54.01586111348
"45",4,3,0,0,"RBMT-prose_1_plus_pr2_immrec","AVLT-recognition_1_to_5",3.36191116289987,2.29434288819268,45.4420619740677
"46",4,5,0,0,"RBMT-prose_1_plus_pr2_immrec","RBMT-prose_1_plus_pr2_delrec",3.83969297691832,1.04711574769666,46.7222820376088
"47",4,6,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-a",2.90308172542953,2.47319270528729,78.1125673419574
"48",4,7,0,0,"RBMT-prose_1_plus_pr2_immrec","TMT-b",2.99839211394396,2.2742458650251,65.4219716993618
"49",4,8,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_I_c",3.00866276969148,2.75311215929284,45.543881920192
"50",4,9,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_II_w",3.07500440075646,2.63143583530424,48.170095872955
"51",4,10,0,0,"RBMT-prose_1_plus_pr2_immrec","Stroop-card_III_cw",3.02726159367762,2.52531618855478,56.8256566633211
"52",4,11,0,0,"RBMT-prose_1_plus_pr2_immrec","LF-total_letter_123",3.07815867685889,2.64365333983098,47.2569942290006
"53",4,12,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Animals",3.1305840673585,2.52479023837156,49.065051177078
"54",4,13,0,0,"RBMT-prose_1_plus_pr2_immrec","SF-Occupations",3.16219478241394,2.52045201852635,47.4182917228677
"55",4,14,0,0,"RBMT-prose_1_plus_pr2_immrec","MMSE-total",3.35980463998,2.49757238464793,40.0603047102454
"56",4,15,0,0,"RBMT-prose_1_plus_pr2_immrec","BNT-LongVersion",3.22706636320466,2.21869173766563,51.9709647563802
"57",5,1,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-total_1_to_5",3.01156794811275,1.98669564907485,56.5103481896844
"58",5,2,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-delayed_recall_1_to_5",3.08380239063651,2.21456179467371,48.7781720282197
"59",5,3,0,0,"RBMT-prose_1_plus_pr2_delrec","AVLT-recognition_1_to_5",3.26279453983593,2.25847086963037,41.2344880847283
"60",5,4,0,0,"RBMT-prose_1_plus_pr2_delrec","RBMT-prose_1_plus_pr2_immrec",3.83969297691832,1.04711574769666,43.2777179623912
"61",5,6,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-a",2.75528506993723,2.47649606656486,76.3082466806167
"62",5,7,0,0,"RBMT-prose_1_plus_pr2_delrec","TMT-b",2.88395639543877,2.24174216962478,60.3149992424104
"63",5,8,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_I_c",2.98922241617146,2.62226819611435,33.6900675259798
"64",5,9,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_II_w",3.03374111226953,2.52122676608862,39.5289072954953
"65",5,10,0,0,"RBMT-prose_1_plus_pr2_delrec","Stroop-card_III_cw",2.92146956806222,2.48729031155188,48.6470981542704
"66",5,11,0,0,"RBMT-prose_1_plus_pr2_delrec","LF-total_letter_123",2.97770087885963,2.60332944889441,36.3077453902741
"67",5,12,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Animals",3.05385343239912,2.45543570193161,42.0802538442413
"68",5,13,0,0,"RBMT-prose_1_plus_pr2_delrec","SF-Occupations",3.16202780009389,2.35240245990647,41.7044589953496
"69",5,14,0,0,"RBMT-prose_1_plus_pr2_delrec","MMSE-total",3.24844445457138,2.48069074720583,33.727411992044
"70",5,15,0,0,"RBMT-prose_1_plus_pr2_delrec","BNT-LongVersion",3.10754049235854,2.20449662054307,48.0103280884182
"71",6,1,0,0,"TMT-a","AVLT-total_1_to_5",2.57761022756092,2.25328620882152,58.4349065437495
"72",6,2,0,0,"TMT-a","AVLT-delayed_recall_1_to_5",2.70746610672058,2.40595522066021,31.717474411461
"73",6,3,0,0,"TMT-a","AVLT-recognition_1_to_5",2.89048901219097,2.46910191456213,13.2296697633547
"74",6,4,0,0,"TMT-a","RBMT-prose_1_plus_pr2_immrec",2.90308172542953,2.47319270528729,11.8874326580426
"75",6,5,0,0,"TMT-a","RBMT-prose_1_plus_pr2_delrec",2.75528506993723,2.47649606656486,13.6917533193833
"76",6,7,0,0,"TMT-a","TMT-b",2.91233051094422,1.88833671701542,47.2285044668681
"77",6,8,0,0,"TMT-a","Stroop-card_I_c",3.05572222740822,2.27578007077949,29.9364700916107
"78",6,9,0,0,"TMT-a","Stroop-card_II_w",3.05271606928656,2.22395284540266,32.5911143253534
"79",6,10,0,0,"TMT-a","Stroop-card_III_cw",2.89682161252765,2.24385699013666,36.3609381677095
"80",6,11,0,0,"TMT-a","LF-total_letter_123",2.93359463101037,2.39643931704693,23.9509552344418
"81",6,12,0,0,"TMT-a","SF-Animals",2.91245529330243,2.36170733863235,27.925584121499
"82",6,13,0,0,"TMT-a","SF-Occupations",2.94405020556626,2.36001221288892,27.1510273556494
"83",6,14,0,0,"TMT-a","MMSE-total",3.05557320499936,2.46466274823496,11.9646273837255
"84",6,15,0,0,"TMT-a","BNT-LongVersion",2.74249807230633,2.38750700542821,32.1107845689054
"85",7,1,0,0,"TMT-b","AVLT-total_1_to_5",2.61290419507982,2.12416777891064,49.0487461761314
"86",7,2,0,0,"TMT-b","AVLT-delayed_recall_1_to_5",2.73418160272496,2.29373670409644,30.5312346277947
"87",7,3,0,0,"TMT-b","AVLT-recognition_1_to_5",2.91103210023221,2.36543166611185,16.6907378236027
"88",7,4,0,0,"TMT-b","RBMT-prose_1_plus_pr2_immrec",2.99839211394396,2.2742458650251,24.5780283006382
"89",7,5,0,0,"TMT-b","RBMT-prose_1_plus_pr2_delrec",2.88395639543877,2.24174216962478,29.6850007575896
"90",7,6,0,0,"TMT-b","TMT-a",2.91233051094422,1.88833671701542,42.7714955331319
"91",7,8,0,0,"TMT-b","Stroop-card_I_c",3.06539881879423,2.17667802049467,28.9973083959583
"92",7,9,0,0,"TMT-b","Stroop-card_II_w",3.08157369090659,2.09449972721489,32.1380494267339
"93",7,10,0,0,"TMT-b","Stroop-card_III_cw",2.95600782542363,2.0752039043339,35.9349065437495
"94",7,11,0,0,"TMT-b","LF-total_letter_123",2.98642314075362,2.24681097230908,26.7581490984306
"95",7,12,0,0,"TMT-b","SF-Animals",2.92724873995259,2.26036635632749,27.2132225404484
"96",7,13,0,0,"TMT-b","SF-Occupations",2.95006868142466,2.26983873750822,25.9636090630046
"97",7,14,0,0,"TMT-b","MMSE-total",3.11853756567065,2.30299747865343,20.2351665456645
"98",7,15,0,0,"TMT-b","BNT-LongVersion",2.75111940778286,2.29582474140104,29.6376532646047
"99",8,1,0,0,"Stroop-card_I_c","AVLT-total_1_to_5",2.94956015899368,2.26021694842191,70.5540191590913
"100",8,2,0,0,"Stroop-card_I_c","AVLT-delayed_recall_1_to_5",2.93796019080563,2.56407794761952,66.3987009191171
"101",8,3,0,0,"Stroop-card_I_c","AVLT-recognition_1_to_5",2.96827355783344,2.77990209203894,46.7266581252655
"102",8,4,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_immrec",3.00866276969148,2.75311215929284,44.456118079808
"103",8,5,0,0,"Stroop-card_I_c","RBMT-prose_1_plus_pr2_delrec",2.98922241617146,2.62226819611435,56.3099324740202
"104",8,6,0,0,"Stroop-card_I_c","TMT-a",3.05572222740822,2.27578007077949,60.0635299083893
"105",8,7,0,0,"Stroop-card_I_c","TMT-b",3.06539881879423,2.17667802049467,61.0026916040417
"106",8,9,0,0,"Stroop-card_I_c","Stroop-card_II_w",3.62159305260674,1.79894913239094,45.7295526470282
"107",8,10,0,0,"Stroop-card_I_c","Stroop-card_III_cw",3.31229225949427,2.1312677438678,49.8813273661695
"108",8,11,0,0,"Stroop-card_I_c","LF-total_letter_123",3.18421651717517,2.50933787930095,46.2508114071409
"109",8,12,0,0,"Stroop-card_I_c","SF-Animals",3.13836268637074,2.50955167290806,48.6930215756337
"110",8,13,0,0,"Stroop-card_I_c","SF-Occupations",3.16421329487676,2.51236065161219,47.1661569915943
"111",8,14,0,0,"Stroop-card_I_c","MMSE-total",3.07301554484653,2.83809409571692,24.9495462268939
"112",8,15,0,0,"Stroop-card_I_c","BNT-LongVersion",2.89618933471067,2.6307195358771,75.9851595088583
"113",9,1,0,0,"Stroop-card_II_w","AVLT-total_1_to_5",2.96204792974468,2.18704966655377,64.8000132883375
"114",9,2,0,0,"Stroop-card_II_w","AVLT-delayed_recall_1_to_5",2.94967784607488,2.50078683722217,58.9656506925008
"115",9,3,0,0,"Stroop-card_II_w","AVLT-recognition_1_to_5",3.02863233504002,2.66726791515718,42.4027855461326
"116",9,4,0,0,"Stroop-card_II_w","RBMT-prose_1_plus_pr2_immrec",3.07500440075646,2.63143583530424,41.829904127045
"117",9,5,0,0,"Stroop-card_II_w","RBMT-prose_1_plus_pr2_delrec",3.03374111226953,2.52122676608862,50.4710927045047
"118",9,6,0,0,"Stroop-card_II_w","TMT-a",3.05271606928656,2.22395284540266,57.4088856746466
"119",9,7,0,0,"Stroop-card_II_w","TMT-b",3.08157369090659,2.09449972721489,57.8619505732661
"120",9,8,0,0,"Stroop-card_II_w","Stroop-card_I_c",3.62159305260674,1.79894913239094,44.2704473529718
"121",9,10,0,0,"Stroop-card_II_w","Stroop-card_III_cw",3.49510751406339,1.74534640404586,47.6235694508082
"122",9,11,0,0,"Stroop-card_II_w","LF-total_letter_123",3.19931983437819,2.43901464012033,44.4395693123449
"123",9,12,0,0,"Stroop-card_II_w","SF-Animals",3.20905541739518,2.36591666694067,46.2497097982603
"124",9,13,0,0,"Stroop-card_II_w","SF-Occupations",3.19197357658782,2.42568235806556,45.1860226436016
"125",9,14,0,0,"Stroop-card_II_w","MMSE-total",3.14716326188805,2.70961149146055,31.717474411461
"126",9,15,0,0,"Stroop-card_II_w","BNT-LongVersion",2.84813603313945,2.63536477025309,76.717474411461
"127",10,1,0,0,"Stroop-card_III_cw","AVLT-total_1_to_5",2.83766063194928,2.16009821737355,60.1168706363267
"128",10,2,0,0,"Stroop-card_III_cw","AVLT-delayed_recall_1_to_5",2.88373911118536,2.40832118460266,48.5098708616018
"129",10,3,0,0,"Stroop-card_III_cw","AVLT-recognition_1_to_5",2.9712967587072,2.57288855423441,31.1770123181307
"130",10,4,0,0,"Stroop-card_III_cw","RBMT-prose_1_plus_pr2_immrec",3.02726159367762,2.52531618855478,33.1743433366789
"131",10,5,0,0,"Stroop-card_III_cw","RBMT-prose_1_plus_pr2_delrec",2.92146956806222,2.48729031155188,41.3529018457296
"132",10,6,0,0,"Stroop-card_III_cw","TMT-a",2.89682161252765,2.24385699013666,53.6390618322905
"133",10,7,0,0,"Stroop-card_III_cw","TMT-b",2.95600782542363,2.0752039043339,54.0650934562505
"134",10,8,0,0,"Stroop-card_III_cw","Stroop-card_I_c",3.31229225949427,2.1312677438678,40.1186726338305
"135",10,9,0,0,"Stroop-card_III_cw","Stroop-card_II_w",3.49510751406339,1.74534640404586,42.3764305491918
"136",10,11,0,0,"Stroop-card_III_cw","LF-total_letter_123",3.1103306589178,2.3815354287309,38.3377343690546
"137",10,12,0,0,"Stroop-card_III_cw","SF-Animals",3.13431661709809,2.28759386241118,41.033620842914
"138",10,13,0,0,"Stroop-card_III_cw","SF-Occupations",3.10819489333319,2.36075892662937,39.2810019300664
"139",10,14,0,0,"Stroop-card_III_cw","MMSE-total",3.13148208510721,2.56941218394849,25.8652419673078
"140",10,15,0,0,"Stroop-card_III_cw","BNT-LongVersion",2.75927105272922,2.56999563849173,50.8625560075825
"141",11,1,0,0,"LF-total_letter_123","AVLT-total_1_to_5",3.00415157547754,2.14845169709719,63.2896522339922
