category.short.name,ID1,ID2,ID3,ID,lowweb,highweb,lowborder,highborder,category,long.name.1,long.name.2,long.name.3,spss.name,dataset,computed.variable.arguments,dutch.alias,description
m,AVLT,total 1 to 5,,AVLT__total_1_to_5,0,75,15,75.001,Memory Tests,Auditory Verbal Learning Test,Total trial 1 to 5,,AVLTtotal,AVLT,"AVLT__trial1,AVLT__trial2,AVLT__trial3,AVLT__trial4,AVLT__trial5","15WT, vijftien woordentest, 15 woordentest",NL: 15 woordentest. Total correct (5 trial version)
m,AVLT,delayed recall 1 to 5,,AVLT__delayed_recall_1_to_5,0,15,3,15.001,Memory Tests,Auditory Verbal Learning Test,Delayed recall 1 to 5,,AVLT_delrecal_all,AVLT,,"15WT, vijftien woordentest, 15 woordentest",NL: 15 woordentest. Total correct on 20 minutes delayed recall (5 trial version)
m,AVLT,recognition 1 to 5,,AVLT__recognition_1_to_5,0,30,8,30.001,Memory Tests,Auditory Verbal Learning Test,Recognition 1 to 5,,AVLTrecognition,AVLT,,"15WT, vijftien woordentest, 15 woordentest",NL: 15 woordentest. Total correct on recognition (5 trial version)
m,RBMT,prose 1 plus pr2 immrec,,RBMT__prose_1_plus_pr2_immrec,0,42,10,42.001,Memory Tests,Rivermead Behavioural Memory Test,prose 1 + 2 immediate recall,,RBMTprIMMED,RBMT,"RBMT__prose_1_immrec,RBMT__prose_2_immrec",,Total of first and second story immediate recall
m,RBMT,prose 1 plus pr2 delrec,,RBMT__prose_1_plus_pr2_delrec,0,42,4,42.001,Memory Tests,Rivermead Behavioural Memory Test,prose 1 + 2 delayed recall,,RBMTprDELAY,RBMT,"RBMT__prose_1_delrec,RBMT__prose_2_delrec",,Total of first and second story delayed recall
wm,TMT,a,,TMT__a,0,3000,10,150.001,Attention and Working Memory,Trail Making Test,a,,TMTa,TMT,,,Total time in seconds on TMTa
wm,TMT,b,,TMT__b,0,3000,10,500.001,Attention and Working Memory,Trail Making Test,b,,TMTb,TMT,,,Total time in seconds on TMTb
wm,Stroop,card I c,,Stroop__card_I_c,0,3000,15,100.001,Attention and Working Memory,Stroop Color - Word Test,Card I color,,Stroop_CardI_whole,Stroop,,,NL: Stroop woordkaart. Total time in seconds on Stroop card I (word)
wm,Stroop,card II w,,Stroop__card_II_w,0,3000,15,100.001,Attention and Working Memory,Stroop Color - Word Test,Card II word,,Stroop_CardII_whole,Stroop,,,NL: Stroop kleurkaart. Total time in seconds on Stroop card II (color)
wm,Stroop,card III cw,,Stroop__card_III_cw,0,3000,15,400.001,Attention and Working Memory,Stroop Color - Word Test,Card III color word,,Stroop_CardIII_whole,Stroop,,,NL: Stroop kleur-woord kaart. Total time in seconds on Stroop card III (interference)
ef,LF,total letter 123,,LF__total_letter_123,0,180,10,180.001,Executive Functions,Letter Fluency,total 3 lettters,,LF_totalletter123,LF,"LF__letter_1,LF__letter_2,LF__letter_3",Letterfluency,Total of all three letters
ef,SF,Animals,,SF__Animals,0,60,8,60.001,Executive Functions,Semantic Fluency,total animals 1 minute,,Sfanimal,SF,,Categoriefluency,Total number of animals in 60 seconds
ef,SF,Occupations,,SF__Occupations,0,60,5,60.001,Executive Functions,Semantic Fluency,total occupations 1 minute,,Sfoccupation,SF,,Categoriefluency,Total number of occupations in 60 seconds
cs,MMSE,total,,MMSE__total,0,30,22,30.001,Cognitive screening tools,Mini-Metal State Examination,total score,,MMSETotal,MMSE,,,Total score on the MMSE
l,BNT,LongVersion,,BNT__LongVersion,0,60,30,60.001,Language tests,Boston Naming Test,long version,,BNT_long,BNT,,,Raw score on BNT long
